_id,Unnamed: 0,nyt_id,title,Amazon_url,author,publisher,description,published_date,bestseller_date,rank,rank_last_week,weeks_on_list,NYT_Price,Amazon_Price,Amazon_reviews,Amazon_rating,Amazon_Discount%
ObjectId("5c80968cd5cf373b2803c390"),0,5b4aa4ead3089013507db18b,ODD HOURS,http://www.amazon.com/Odd-Hours-Dean-Koontz/dp/0553807056?tag=NYTBS-20,Dean R Koontz,Bantam,Odd Thomas, who can communicate with the dead, confronts evil forces in a California coastal town.,1212883200000,1211587200000,1,0,1,27,7.99,920,4.4,29.59
ObjectId("5c80968cd5cf373b2803c391"),1,5b4aa4ead3089013507db18c,THE HOST,http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,Little, Brown,Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.,1212883200000,1211587200000,2,1,3,25.99,7.99,6109,4.5,30.74
ObjectId("5c80968cd5cf373b2803c392"),2,5b4aa4ead3089013507db18d,LOVE THE ONE YOU'RE WITH,http://www.amazon.com/Love-Youre-With-Emily-Giffin/dp/0312348665?tag=NYTBS-20,Emily Giffin,St. Martin's,A woman's happy marriage is shaken when she encounters an old boyfriend.,1212883200000,1211587200000,3,2,2,24.95,8.99,702,4,36.03
ObjectId("5c80968cd5cf373b2803c393"),3,5b4aa4ead3089013507db18e,THE FRONT,http://www.amazon.com/The-Front-Garano-Patricia-Cornwell-ebook/dp/B0017T0C9M?tag=NYTBS-20,Patricia Cornwell,Putnam,A Massachusetts state investigator and his team from "At Risk" confront a rogue association of municipal police departments.,1212883200000,1211587200000,4,0,1,22.95,7.99,323,3,34.81
ObjectId("5c80968cd5cf373b2803c394"),4,5b4aa4ead3089013507db18f,SNUFF,http://www.amazon.com/Snuff-Chuck-Palahniuk/dp/0385517882?tag=NYTBS-20,Chuck Palahniuk,Doubleday,An aging porn queens aims to cap her career by having sex on film with 600 men in one day.,1212883200000,1211587200000,5,0,1,24.95,9.99,237,3.5,40.04
ObjectId("5c80968cd5cf373b2803c395"),5,5b4aa4ead3089013507db190,SUNDAYS AT TIFFANY’S,http://www.amazon.com/Sundays-at-Tiffanys-James-Patterson/dp/0446199443?tag=NYTBS-20,James Patterson and Gabrielle Charbonnet,Little, Brown,A woman finds an unexpected love,1212883200000,1211587200000,6,3,4,24.99,6.99,478,4,27.97
ObjectId("5c80968cd5cf373b2803c396"),6,5b4aa4ead3089013507db191,PHANTOM PREY,http://www.amazon.com/Phantom-Prey-John-Sandford/dp/0425227987?tag=NYTBS-20,John Sandford,Putnam,The Minneapolis detective Lucas Davenport investigates a string of murders of young Goths.,1212883200000,1211587200000,7,4,3,26.95,9.99,435,4.2,37.07
ObjectId("5c80968cd5cf373b2803c397"),7,5b4aa4ead3089013507db192,SWINE NOT?,http://www.amazon.com/From-Worse-Southern-Vampire-Mysteries/dp/0441015891?tag=NYTBS-20,Jimmy Buffett,Little, Brown,A Southern family tries to hide its pet pig at a New York luxury hotel.,1212883200000,1211587200000,8,6,2,21.99,7.99,685,4.4,36.33
ObjectId("5c80968cd5cf373b2803c398"),8,5b4aa4ead3089013507db193,CARELESS IN RED,http://www.amazon.com/Where-Are-You-Now-Novel/dp/1416566384?tag=NYTBS-20,Elizabeth George,Harper,In Cornwall, trying to recover from his wife's death, Detective Thomas Lynley becomes involved in a murder investigation.,1212883200000,1211587200000,9,8,3,27.95,8.99,621,4.4,32.16
ObjectId("5c80968cd5cf373b2803c399"),9,5b4aa4ead3089013507db194,THE WHOLE TRUTH,http://www.amazon.com/The-Whole-Truth-David-Baldacci/dp/0446539686?tag=NYTBS-20,David Baldacci,Grand Central,An intelligence agent and a journalist team up against a warmongering defense contractor.,1212883200000,1211587200000,10,7,5,26.99,9.99,1064,4.4,37.01
ObjectId("5c80968cd5cf373b2803c39a"),10,5b4aa4ead3089013507db195,INVINCIBLE,http://www.amazon.com/Careless-Red-Novel-Elizabeth-George/dp/0061160873?tag=NYTBS-20,Troy Denning,Del Rey/Ballantine,The New Jedi order battles Darth Caedus, Darth Vader's gradson; a 'Star Wars: Legacy of the Force' novel.,1212883200000,1211587200000,11,5,2,27,9.99,347,3.6,37
ObjectId("5c80968cd5cf373b2803c39b"),11,5b4aa4ead3089013507db196,BRIGHT SHINY MORNING,http://www.amazon.com/Unaccustomed-Earth-Jhumpa-Lahiri/dp/0307265730?tag=NYTBS-20,James Frey,Harper,A novel, set in Los Angeles, by the author of "A Million Little Pieces.",1212883200000,1211587200000,12,9,2,26.95,11.99,521,4.4,44.49
ObjectId("5c80968cd5cf373b2803c39c"),12,5b4aa4ead3089013507db197,THE ART OF RACING IN THE RAIN,http://www.amazon.com/The-Racing-Rain-Garth-Stein-ebook/dp/B0017SWPXY?tag=NYTBS-20,Garth Stein,Harper,A Lab-terrier mix with great insight into the human condition helps his owner, a struggling race car driver.,1212883200000,1211587200000,13,0,1,23.95,11.99,8318,4.7,50.06
ObjectId("5c80968cd5cf373b2803c39d"),13,5b4aa4ead3089013507db198,TWENTY WISHES,http://www.amazon.com/Twenty-Wishes-Blossom-Street-Books/dp/0778326314?tag=NYTBS-20,Debbie Macomber,Mira,A widow who owns a bookstore on Blossom Street compiles a list of things she always wanted to do.,1212883200000,1211587200000,14,10,4,24.95,5.99,455,4.6,24.01
ObjectId("5c80968cd5cf373b2803c39e"),14,5b4aa4ead3089013507db199,THE STEEL WAVE,http://www.amazon.com/Hold-Tight-Harlan-Coben/dp/0525950605?tag=NYTBS-20,Jeff Shaara,Ballantine,A novel about the Allied invasion in France in World War II.,1212883200000,1211587200000,15,11,2,28,9.99,583,4.3,35.68
ObjectId("5c80968cd5cf373b2803c39f"),15,5b4aa4ead3089013507db19a,EXECUTIVE PRIVILEGE,http://www.amazon.com/Executive-Privilege-Novel-Phillip-Margolin/dp/0061236217?tag=NYTBS-20,Phillip Margolin,HarperCollins Publishers,NaN,1212883200000,1211587200000,16,0,0,0,4.99,473,4.4,Infinity
ObjectId("5c80968cd5cf373b2803c3a0"),16,5b4aa4ead3089013507db19b,UNACCUSTOMED EARTH,http://www.amazon.com/Unaccustomed-Vintage-Contemporaries-Jhumpa-Lahiri/dp/0307278255?tag=NYTBS-20,Jhumpa Lahiri,Knopf,Stories of the anxiety and transformation experienced by Bengalis in America.,1212883200000,1211587200000,17,0,0,0,11.99,521,4.4,Infinity
ObjectId("5c80968cd5cf373b2803c3a1"),17,5b4aa4ead3089013507db19c,NETHERLAND,http://www.amazon.com/Netherland-A-Novel-Joseph-ONeill/dp/0307377040?tag=NYTBS-20,Joseph O'Neill,Knopf Publishing Group,A Dutchman deserted by his wife after 9/11 finds solace in New York’s immigrant cricket scene.,1212883200000,1211587200000,18,0,0,0,11.99,242,3.5,Infinity
ObjectId("5c80968cd5cf373b2803c3a2"),18,5b4aa4ead3089013507db19d,THE APPEAL,http://www.amazon.com/The-Appeal-John-Grisham/dp/0440243815?tag=NYTBS-20,John Grisham,Doubleday Publishing,Political and legal intrigue ensue when a Mississippi court rules against a company accused of dumping toxic waste.,1212883200000,1211587200000,19,0,0,0,9.99,1257,3.5,Infinity
